Metabolite_Code,Metabolite_Name
p23400,Total Cholesterol
p23401,Total Cholesterol Minus HDL-C
p23402,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
p23403,VLDL Cholesterol
p23404,Clinical LDL Cholesterol
p23405,LDL Cholesterol
p23406,HDL Cholesterol
p23407,Total Triglycerides
p23408,Triglycerides in VLDL
p23409,Triglycerides in LDL
p23410,Triglycerides in HDL
p23411,Total Phospholipids in Lipoprotein Particles
p23412,Phospholipids in VLDL
p23413,Phospholipids in LDL
p23414,Phospholipids in HDL
p23415,Total Esterified Cholesterol
p23416,Cholesteryl Esters in VLDL
p23417,Cholesteryl Esters in LDL
p23418,Cholesteryl Esters in HDL
p23419,Total Free Cholesterol
p23420,Free Cholesterol in VLDL
p23421,Free Cholesterol in LDL
p23422,Free Cholesterol in HDL
p23423,Total Lipids in Lipoprotein Particles
p23424,Total Lipids in VLDL
p23425,Total Lipids in LDL
p23426,Total Lipids in HDL
p23427,Total Concentration of Lipoprotein Particles
p23428,Concentration of VLDL Particles
p23429,Concentration of LDL Particles
p23430,Concentration of HDL Particles
p23431,Average Diameter for VLDL Particles
p23432,Average Diameter for LDL Particles
p23433,Average Diameter for HDL Particles
p23434,Phosphoglycerides
p23435,Triglycerides to Phosphoglycerides ratio
p23436,Total Cholines
p23437,Phosphatidylcholines
p23438,Sphingomyelins
p23439,Apolipoprotein B
p23440,Apolipoprotein A1
p23441,Apolipoprotein B to Apolipoprotein A1 ratio
p23442,Total Fatty Acids
p23443,Degree of Unsaturation
p23444,Omega-3 Fatty Acids
p23445,Omega-6 Fatty Acids
p23446,Polyunsaturated Fatty Acids
p23447,Monounsaturated Fatty Acids
p23448,Saturated Fatty Acids
p23449,Linoleic Acid
p23450,Docosahexaenoic Acid
p23451,Omega-3 Fatty Acids to Total Fatty Acids percentage
p23452,Omega-6 Fatty Acids to Total Fatty Acids percentage
p23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
p23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage
p23455,Saturated Fatty Acids to Total Fatty Acids percentage
p23456,Linoleic Acid to Total Fatty Acids percentage
p23457,Docosahexaenoic Acid to Total Fatty Acids percentage
p23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
p23459,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
p23460,Alanine
p23461,Glutamine
p23462,Glycine
p23463,Histidine
p23464,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
p23465,Isoleucine
p23466,Leucine
p23467,Valine
p23468,Phenylalanine
p23469,Tyrosine
p23470,Glucose
p23471,Lactate
p23472,Pyruvate
p23473,Citrate
p23474,3-Hydroxybutyrate
p23475,Acetate
p23476,Acetoacetate
p23477,Acetone
p23478,Creatinine
p23479,Albumin
p23480,Glycoprotein Acetyls
p23481,Concentration of Chylomicrons and Extremely Large VLDL Particles
p23482,Total Lipids in Chylomicrons and Extremely Large VLDL
p23483,Phospholipids in Chylomicrons and Extremely Large VLDL
p23484,Cholesterol in Chylomicrons and Extremely Large VLDL
p23485,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
p23486,Free Cholesterol in Chylomicrons and Extremely Large VLDL
p23487,Triglycerides in Chylomicrons and Extremely Large VLDL
p23488,Concentration of Very Large VLDL Particles
p23489,Total Lipids in Very Large VLDL
p23490,Phospholipids in Very Large VLDL
p23491,Cholesterol in Very Large VLDL
p23492,Cholesteryl Esters in Very Large VLDL
p23493,Free Cholesterol in Very Large VLDL
p23494,Triglycerides in Very Large VLDL
p23495,Concentration of Large VLDL Particles
p23496,Total Lipids in Large VLDL
p23497,Phospholipids in Large VLDL
p23498,Cholesterol in Large VLDL
p23499,Cholesteryl Esters in Large VLDL
p23500,Free Cholesterol in Large VLDL
p23501,Triglycerides in Large VLDL
p23502,Concentration of Medium VLDL Particles
p23503,Total Lipids in Medium VLDL
p23504,Phospholipids in Medium VLDL
p23505,Cholesterol in Medium VLDL
p23506,Cholesteryl Esters in Medium VLDL
p23507,Free Cholesterol in Medium VLDL
p23508,Triglycerides in Medium VLDL
p23509,Concentration of Small VLDL Particles
p23510,Total Lipids in Small VLDL
p23511,Phospholipids in Small VLDL
p23512,Cholesterol in Small VLDL
p23513,Cholesteryl Esters in Small VLDL
p23514,Free Cholesterol in Small VLDL
p23515,Triglycerides in Small VLDL
p23516,Concentration of Very Small VLDL Particles
p23517,Total Lipids in Very Small VLDL
p23518,Phospholipids in Very Small VLDL
p23519,Cholesterol in Very Small VLDL
p23520,Cholesteryl Esters in Very Small VLDL
p23521,Free Cholesterol in Very Small VLDL
p23522,Triglycerides in Very Small VLDL
p23523,Concentration of IDL Particles
p23524,Total Lipids in IDL
p23525,Phospholipids in IDL
p23526,Cholesterol in IDL
p23527,Cholesteryl Esters in IDL
p23528,Free Cholesterol in IDL
p23529,Triglycerides in IDL
p23530,Concentration of Large LDL Particles
p23531,Total Lipids in Large LDL
p23532,Phospholipids in Large LDL
p23533,Cholesterol in Large LDL
p23534,Cholesteryl Esters in Large LDL
p23535,Free Cholesterol in Large LDL
p23536,Triglycerides in Large LDL
p23537,Concentration of Medium LDL Particles
p23538,Total Lipids in Medium LDL
p23539,Phospholipids in Medium LDL
p23540,Cholesterol in Medium LDL
p23541,Cholesteryl Esters in Medium LDL
p23542,Free Cholesterol in Medium LDL
p23543,Triglycerides in Medium LDL
p23544,Concentration of Small LDL Particles
p23545,Total Lipids in Small LDL
p23546,Phospholipids in Small LDL
p23547,Cholesterol in Small LDL
p23548,Cholesteryl Esters in Small LDL
p23549,Free Cholesterol in Small LDL
p23550,Triglycerides in Small LDL
p23551,Concentration of Very Large HDL Particles
p23552,Total Lipids in Very Large HDL
p23553,Phospholipids in Very Large HDL
p23554,Cholesterol in Very Large HDL
p23555,Cholesteryl Esters in Very Large HDL
p23556,Free Cholesterol in Very Large HDL
p23557,Triglycerides in Very Large HDL
p23558,Concentration of Large HDL Particles
p23559,Total Lipids in Large HDL
p23560,Phospholipids in Large HDL
p23561,Cholesterol in Large HDL
p23562,Cholesteryl Esters in Large HDL
p23563,Free Cholesterol in Large HDL
p23564,Triglycerides in Large HDL
p23565,Concentration of Medium HDL Particles
p23566,Total Lipids in Medium HDL
p23567,Phospholipids in Medium HDL
p23568,Cholesterol in Medium HDL
p23569,Cholesteryl Esters in Medium HDL
p23570,Free Cholesterol in Medium HDL
p23571,Triglycerides in Medium HDL
p23572,Concentration of Small HDL Particles
p23573,Total Lipids in Small HDL
p23574,Phospholipids in Small HDL
p23575,Cholesterol in Small HDL
p23576,Cholesteryl Esters in Small HDL
p23577,Free Cholesterol in Small HDL
p23578,Triglycerides in Small HDL
p23579,Phospholipids to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
p23580,Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
p23581,Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
p23582,Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
p23583,Triglycerides to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
p23584,Phospholipids to Total Lipids in Very Large VLDL percentage
p23585,Cholesterol to Total Lipids in Very Large VLDL percentage
p23586,Cholesteryl Esters to Total Lipids in Very Large VLDL percentage
p23587,Free Cholesterol to Total Lipids in Very Large VLDL percentage
p23588,Triglycerides to Total Lipids in Very Large VLDL percentage
p23589,Phospholipids to Total Lipids in Large VLDL percentage
p23590,Cholesterol to Total Lipids in Large VLDL percentage
p23591,Cholesteryl Esters to Total Lipids in Large VLDL percentage
p23592,Free Cholesterol to Total Lipids in Large VLDL percentage
p23593,Triglycerides to Total Lipids in Large VLDL percentage
p23594,Phospholipids to Total Lipids in Medium VLDL percentage
p23595,Cholesterol to Total Lipids in Medium VLDL percentage
p23596,Cholesteryl Esters to Total Lipids in Medium VLDL percentage
p23597,Free Cholesterol to Total Lipids in Medium VLDL percentage
p23598,Triglycerides to Total Lipids in Medium VLDL percentage
p23599,Phospholipids to Total Lipids in Small VLDL percentage
p23600,Cholesterol to Total Lipids in Small VLDL percentage
p23601,Cholesteryl Esters to Total Lipids in Small VLDL percentage
p23602,Free Cholesterol to Total Lipids in Small VLDL percentage
p23603,Triglycerides to Total Lipids in Small VLDL percentage
p23604,Phospholipids to Total Lipids in Very Small VLDL percentage
p23605,Cholesterol to Total Lipids in Very Small VLDL percentage
p23606,Cholesteryl Esters to Total Lipids in Very Small VLDL percentage
p23607,Free Cholesterol to Total Lipids in Very Small VLDL percentage
p23608,Triglycerides to Total Lipids in Very Small VLDL percentage
p23609,Phospholipids to Total Lipids in IDL percentage
p23610,Cholesterol to Total Lipids in IDL percentage
p23611,Cholesteryl Esters to Total Lipids in IDL percentage
p23612,Free Cholesterol to Total Lipids in IDL percentage
p23613,Triglycerides to Total Lipids in IDL percentage
p23614,Phospholipids to Total Lipids in Large LDL percentage
p23615,Cholesterol to Total Lipids in Large LDL percentage
p23616,Cholesteryl Esters to Total Lipids in Large LDL percentage
p23617,Free Cholesterol to Total Lipids in Large LDL percentage
p23618,Triglycerides to Total Lipids in Large LDL percentage
p23619,Phospholipids to Total Lipids in Medium LDL percentage
p23620,Cholesterol to Total Lipids in Medium LDL percentage
p23621,Cholesteryl Esters to Total Lipids in Medium LDL percentage
p23622,Free Cholesterol to Total Lipids in Medium LDL percentage
p23623,Triglycerides to Total Lipids in Medium LDL percentage
p23624,Phospholipids to Total Lipids in Small LDL percentage
p23625,Cholesterol to Total Lipids in Small LDL percentage
p23626,Cholesteryl Esters to Total Lipids in Small LDL percentage
p23627,Free Cholesterol to Total Lipids in Small LDL percentage
p23628,Triglycerides to Total Lipids in Small LDL percentage
p23629,Phospholipids to Total Lipids in Very Large HDL percentage
p23630,Cholesterol to Total Lipids in Very Large HDL percentage
p23631,Cholesteryl Esters to Total Lipids in Very Large HDL percentage
p23632,Free Cholesterol to Total Lipids in Very Large HDL percentage
p23633,Triglycerides to Total Lipids in Very Large HDL percentage
p23634,Phospholipids to Total Lipids in Large HDL percentage
p23635,Cholesterol to Total Lipids in Large HDL percentage
p23636,Cholesteryl Esters to Total Lipids in Large HDL percentage
p23637,Free Cholesterol to Total Lipids in Large HDL percentage
p23638,Triglycerides to Total Lipids in Large HDL percentage
p23639,Phospholipids to Total Lipids in Medium HDL percentage
p23640,Cholesterol to Total Lipids in Medium HDL percentage
p23641,Cholesteryl Esters to Total Lipids in Medium HDL percentage
p23642,Free Cholesterol to Total Lipids in Medium HDL percentage
p23643,Triglycerides to Total Lipids in Medium HDL percentage
p23644,Phospholipids to Total Lipids in Small HDL percentage
p23645,Cholesterol to Total Lipids in Small HDL percentage
p23646,Cholesteryl Esters to Total Lipids in Small HDL percentage
p23647,Free Cholesterol to Total Lipids in Small HDL percentage
p23648,Triglycerides to Total Lipids in Small HDL percentage
p23466_div_p23465_plus_p23467,Leucine / (Isoleucine + Valine)
p23531_div_p23545,Total Lipids in Large LDL / Total Lipids in Small LDL
p23547_div_p23533,Cholesterol in Small LDL / Cholesterol in Large LDL
p23540_div_p23547,Cholesterol in Medium LDL / Cholesterol in Small LDL
p23476_div_p23477,Acetoacetate / Acetone
p23468_div_p23407,Phenylalanine / Total Triglycerides
p23470_div_p23479,Glucose / Albumin
p23532_div_p23539,Phospholipids in Large LDL / Phospholipids in Medium LDL
p23481_div_p23488,Concentration of Chylomicrons and Extremely Large VLDL Particles / Concentration of Very Large VLDL Particles
p23473_div_p23478,Citrate / Creatinine
p23464_div_p23468_plus_p23469,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine) / (Phenylalanine + Tyrosine)
p23473_div_p23472,Citrate / Pyruvate
p23474_div_p23476_plus_p23477,3-Hydroxybutyrate / (Acetoacetate + Acetone)
p23400_div_p23439,Total Cholesterol / Apolipoprotein B
p23530_div_p23544,Concentration of Large LDL Particles / Concentration of Small LDL Particles
p23523_div_p23429,Concentration of IDL Particles / Concentration of LDL Particles
p23407_div_p23408_plus_p23410,Total Triglycerides / (Triglycerides in VLDL + Triglycerides in HDL)
p23530_div_p23537_plus_p23544,Concentration of Large LDL Particles / (Concentration of Medium LDL Particles + Concentration of Small LDL Particles)
p23408_div_p23410,Triglycerides in VLDL / Triglycerides in HDL
p23400_div_p23403,Total Cholesterol / VLDL Cholesterol
p23471_div_p23472,Lactate / Pyruvate
p23473_div_p23411,Citrate / Total Phospholipids in Lipoprotein Particles
p23461_div_p23462_plus_p23460,Glutamine / (Glycine + Alanine)
p23512_div_p23505,Cholesterol in Small VLDL / Cholesterol in Medium VLDL
p23400_div_p23470_plus_p23464,Total Cholesterol / (Glucose + Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine))
p23472_div_p23471_plus_p23470,Pyruvate / (Lactate + Glucose)
p23442_div_p23439,Total Fatty Acids / Apolipoprotein B
p23475_div_p23474,Acetate / 3-Hydroxybutyrate
p23470_div_p23480,Glucose / Glycoprotein Acetyls
p23400_div_p23470,Total Cholesterol / Glucose
p23470_div_p23442,Glucose / Total Fatty Acids
p23480_div_p23479,Glycoprotein Acetyls / Albumin
p23446_div_p23448,Polyunsaturated Fatty Acids / Saturated Fatty Acids